date,EUR,USD,PLN,TRY
2019-02-06,2613.4880,2283.6187,608.8782,439.8997
2019-02-07,2607.9278,2283.6486,606.1847,436.7949
2019-02-08,2589.3046,2283.6784,601.2689,435.2650
2019-02-09,2590.8550,2283.7381,601.6290,435.5257
2019-02-10,2590.8550,2283.7978,601.6290,435.5257
2019-02-11,2590.8550,2283.7978,600.3186,434.7948
2019-02-12,2582.2126,2283.7978,596.9192,434.9722
2019-02-13,2582.2126,2283.8277,596.5606,434.8404
2019-02-14,2581.5623,2283.7580,595.0768,430.8924
2019-02-15,2573.6028,2283.7879,594.2695,433.8361
2019-02-16,2571.4786,2283.8277,593.7790,433.4781
2019-02-17,2571.4786,2283.8277,593.7790,433.4781
2019-02-18,2571.4786,2283.8277,593.9847,428.0162
2019-02-19,2586.0243,2283.8675,596.5867,431.3132
2019-02-20,2586.0243,2283.8675,595.2409,429.6435
2019-02-21,2595.0113,2288.0666,598.6738,429.3391
2019-02-22,2599.1063,2288.9522,599.2867,430.4724
2019-02-23,2599.1063,2288.9522,599.2867,430.4724
2019-02-24,2595.5940,2288.9820,598.4768,429.8907
2019-02-25,2595.5940,2288.9820,598.6149,430.2969
2019-02-26,2595.5940,2288.9820,599.6936,430.7754
2019-02-27,2599.0930,2289.0119,602.3949,431.3346
2019-02-28,2605.7907,2289.0119,604.7462,429.4386
2019-03-01,2612.1178,2288.9920,606.1161,426.6075
2019-03-02,2612.1178,2289.0218,606.1161,426.6075
2019-03-03,2605.7681,2288.9721,604.6427,425.5705
2019-03-04,2605.7681,2288.9721,606.1476,427.0141
2019-03-05,2605.7681,2288.9323,605.7672,426.9721
2019-03-06,2594.8509,2288.9024,603.5098,423.6699
2019-03-07,2587.2412,2288.9024,601.8100,422.9522
2019-03-08,2587.2412,2288.8626,601.6560,422.1517
2019-03-09,2588.4770,2288.8626,601.9434,422.3534
2019-03-10,2567.6249,2288.8427,597.0943,418.9510
2019-03-11,2567.6249,2288.8427,597.2054,419.7043
2019-03-12,2567.6249,2288.8129,597.2054,417.2557
2019-03-13,2572.9696,2288.8129,598.4624,416.5336
2019-03-14,2578.4190,2288.7731,599.1864,416.9365
2019-03-15,2586.6372,2288.7532,600.8588,418.1573
2019-03-16,2587.0388,2288.7034,600.9521,418.2222
2019-03-17,2588.2970,2288.7034,601.2444,418.4256
2019-03-18,2588.2970,2288.7034,602.2236,417.6154
2019-03-19,2597.1602,2288.9522,605.6951,417.6103
2019-03-20,2597.1602,2288.9522,606.3315,417.8723
2019-03-21,2599.9567,2289.4995,607.3672,418.2685
2019-03-22,2599.9567,2289.4995,605.8669,412.8291
2019-03-23,2606.2863,2289.5293,607.3419,413.8342
2019-03-24,2586.4723,2289.5194,602.7247,410.6881
2019-03-25,2586.4723,2289.5194,602.1634,407.8001
2019-03-26,2589.0833,2289.4995,603.0380,414.8906
2019-03-27,2587.3993,2289.5293,602.6177,415.1796
2019-03-28,2587.3993,2289.5293,602.4213,408.0557
2019-03-29,2570.6523,2289.5094,597.7427,405.1717
2019-03-30,2572.1187,2289.4995,598.0837,405.4028
2019-03-31,2572.1187,2289.4796,598.0837,405.4028
2019-04-01,2572.1187,2289.4796,598.3063,413.9565
2019-04-02,2572.1187,2289.4796,598.8217,413.9165
2019-04-03,2566.5523,2289.5194,597.8459,407.2987
2019-04-04,2566.5523,2289.5592,598.3755,405.9074
2019-04-05,2571.7490,2289.5592,599.5172,409.1558
2019-04-06,2570.0536,2289.5492,599.1220,408.8861
2019-04-07,2570.0536,2289.5791,599.1220,408.8861
2019-04-08,2570.0536,2289.5791,599.2617,402.9497
2019-04-09,2570.0536,2289.5393,599.4993,401.2198
2019-04-10,2578.2524,2289.5393,601.9313,401.9476
2019-04-11,2582.0172,2289.5293,602.8525,398.9273
2019-04-12,2581.9494,2289.5691,603.3156,395.0955
2019-04-13,2591.7382,2289.5194,605.6029,396.5935
2019-04-14,2591.7382,2289.5194,605.6029,396.5935
2019-04-15,2591.7382,2289.5194,606.3680,394.8593
2019-04-16,2589.5851,2289.5393,605.8359,394.0450
2019-04-17,2589.5851,2289.5393,606.0202,398.6001
2019-04-18,2587.8797,2289.5492,604.8426,395.1806
2019-04-19,2574.4417,2289.5094,601.7019,393.1286
2019-04-20,2574.4417,2289.5094,601.7019,393.1286
2019-04-21,2574.4417,2289.5094,601.7019,393.1286
2019-04-22,2574.4417,2289.5094,601.7019,393.1286
2019-04-23,2574.4417,2289.5094,600.6070,393.7057
2019-04-24,2574.4417,2289.5094,600.1589,390.7478
